Sequential
MatrixSize,ExecutionTime
100,17
200,28
500,365
1000,10825
2000,118082
4000,1079027
NumThreads8
Parallel
MatrixSize,ExecutionTime
100,22
200,42
500,184
1000,2851
2000,32481
4000,323243
